date,description,amount,category,type
2024-08-18,Daily Healthcare,658,Healthcare,Expense
2024-08-21,Daily Entertainment,1069,Entertainment,Expense
2024-08-24,Daily Miscellaneous,344,Miscellaneous,Expense
2024-08-27,Daily Miscellaneous,206,Miscellaneous,Expense
2024-08-30,Daily Entertainment,595,Entertainment,Expense
2024-09-01,Monthly Salary,50000,Salary Income,Income
2024-09-01,House Rent,15000,Rent,Expense
2024-09-03,Daily Travel,700,Travel,Expense
2024-09-05,Electricity Bill,2900,Electricity,Expense
2024-09-06,Daily Healthcare,1345,Healthcare,Expense
2024-09-09,Daily Miscellaneous,137,Miscellaneous,Expense
2024-09-10,School Fees,8000,School Fees,Expense
2024-09-12,Daily Shopping,3356,Shopping,Expense
2024-09-15,Freelance Project,14000,Side Income,Income
2024-09-15,Monthly Groceries,4800,Groceries,Expense
2024-09-15,Daily Miscellaneous,105,Miscellaneous,Expense
2024-09-18,Daily Travel,244,Travel,Expense
2024-09-21,Daily Entertainment,1424,Entertainment,Expense
2024-09-24,Daily Shopping,4298,Shopping,Expense
2024-09-27,Daily Travel,426,Travel,Expense
2024-09-30,Daily Shopping,2651,Shopping,Expense
2024-10-01,Monthly Salary,50000,Salary Income,Income
2024-10-01,House Rent,15000,Rent,Expense
2024-10-03,Daily Healthcare,1013,Healthcare,Expense
2024-10-05,Electricity Bill,3000,Electricity,Expense
2024-10-06,Daily Entertainment,1870,Entertainment,Expense
2024-10-09,Daily Shopping,3239,Shopping,Expense
2024-10-10,School Fees,8000,School Fees,Expense
2024-10-12,Daily Entertainment,1201,Entertainment,Expense
2024-10-15,Monthly Groceries,5000,Groceries,Expense
2024-10-15,Daily Miscellaneous,225,Miscellaneous,Expense
2024-10-18,Daily Shopping,4900,Shopping,Expense
2024-10-21,Daily Miscellaneous,359,Miscellaneous,Expense
2024-10-24,Daily Miscellaneous,109,Miscellaneous,Expense
2024-10-27,Daily Shopping,1518,Shopping,Expense
2024-10-30,Daily Travel,529,Travel,Expense
2024-11-01,Monthly Salary,50000,Salary Income,Income
2024-11-01,House Rent,15000,Rent,Expense
2024-11-03,Daily Healthcare,573,Healthcare,Expense
2024-11-05,Electricity Bill,3100,Electricity,Expense
2024-11-06,Daily Healthcare,946,Healthcare,Expense
2024-11-09,Daily Shopping,1373,Shopping,Expense
2024-11-10,School Fees,8000,School Fees,Expense
2024-11-12,Daily Travel,201,Travel,Expense
2024-11-15,Monthly Groceries,5200,Groceries,Expense
2024-11-15,Daily Healthcare,1205,Healthcare,Expense
2024-11-18,Daily Miscellaneous,334,Miscellaneous,Expense
2024-11-21,Daily Travel,517,Travel,Expense
2024-11-24,Daily Travel,666,Travel,Expense
2024-11-27,Daily Miscellaneous,378,Miscellaneous,Expense
2024-11-30,Daily Miscellaneous,223,Miscellaneous,Expense
2024-12-01,Monthly Salary,50000,Salary Income,Income
2024-12-01,House Rent,15000,Rent,Expense
2024-12-03,Daily Travel,755,Travel,Expense
2024-12-05,Electricity Bill,3200,Electricity,Expense
2024-12-06,Daily Travel,273,Travel,Expense
2024-12-09,Daily Travel,635,Travel,Expense
2024-12-10,School Fees,8000,School Fees,Expense
2024-12-12,Daily Healthcare,990,Healthcare,Expense
2024-12-15,Freelance Project,17000,Side Income,Income
2024-12-15,Monthly Groceries,5400,Groceries,Expense
2024-12-15,Daily Miscellaneous,203,Miscellaneous,Expense
2024-12-18,Daily Shopping,2451,Shopping,Expense
2024-12-21,Daily Miscellaneous,230,Miscellaneous,Expense
2024-12-24,Daily Shopping,3739,Shopping,Expense
2024-12-27,Daily Entertainment,893,Entertainment,Expense
2024-12-30,Daily Miscellaneous,244,Miscellaneous,Expense
2025-01-01,Monthly Salary,50000,Salary Income,Income
2025-01-01,House Rent,15000,Rent,Expense
2025-01-03,Daily Travel,799,Travel,Expense
2025-01-05,Electricity Bill,2100,Electricity,Expense
2025-01-06,Daily Healthcare,794,Healthcare,Expense
2025-01-09,Daily Travel,526,Travel,Expense
2025-01-10,School Fees,8000,School Fees,Expense
2025-01-12,Daily Shopping,2132,Shopping,Expense
2025-01-15,Monthly Groceries,3200,Groceries,Expense
2025-01-15,Daily Healthcare,680,Healthcare,Expense
2025-01-18,Daily Entertainment,979,Entertainment,Expense
2025-01-21,Daily Healthcare,1025,Healthcare,Expense
2025-01-24,Daily Healthcare,1206,Healthcare,Expense
2025-01-27,Daily Shopping,2896,Shopping,Expense
2025-01-30,Daily Shopping,3779,Shopping,Expense
2025-02-01,Monthly Salary,50000,Salary Income,Income
2025-02-01,House Rent,15000,Rent,Expense
2025-02-03,Daily Travel,399,Travel,Expense
2025-02-05,Electricity Bill,2200,Electricity,Expense
2025-02-06,Daily Entertainment,816,Entertainment,Expense
2025-02-09,Daily Healthcare,1165,Healthcare,Expense
2025-02-10,School Fees,8000,School Fees,Expense
2025-02-12,Daily Miscellaneous,354,Miscellaneous,Expense
2025-02-15,Monthly Groceries,3400,Groceries,Expense
2025-02-15,Daily Travel,202,Travel,Expense
2025-02-18,Daily Shopping,1692,Shopping,Expense
2025-02-21,Daily Healthcare,1195,Healthcare,Expense
2025-02-24,Daily Healthcare,1011,Healthcare,Expense
2025-02-27,Daily Travel,438,Travel,Expense
2025-03-01,Monthly Salary,50000,Salary Income,Income
2025-03-01,House Rent,15000,Rent,Expense
2025-03-03,Daily Shopping,1577,Shopping,Expense
